XY-PZC;2;1;1;17;;16-03-2015;0;3
XY-ALV;;0;0;0;;17-02-2013;0;1
XY-MBJ;;0;0;0;;17-07-2011;0;1
XY-ALV;3;2;2;26;;17-02-2011;0;2
XY-PZC;;0;0;0;;16-03-2010;0;1
XY-ALV;4;2;2;63;;17-02-2015;0;2
XY-ALV;;0;0;0;;17-02-2016;0;2
XY-PZC;;0;0;0;;16-03-2013;0;2
XY-MBJ;1;1;1;22;;07-11-2012;0;1
XY-MBJ;0;1;1;30;;07-11-2013;0;1
XY-PZC;;0;0;0;;16-03-2012;0;1
XY-YAZ;;0;0;0;;11-09-2016;0;1
XY-YAZ;0;1;1;26;;11-09-2012;21;1
XY-MBJ;0;1;1;25;;10-04-2013;0;2
XY-FBA;2;2;2;16;;20-09-2016;0;2
XY-MBJ;1;1;1;33;;10-04-2011;0;1
XY-MBJ;;0;0;0;;10-04-2014;10;1
XY-IWX;1;2;2;44;;21-03-2014;0;2
XY-OZH;;0;0;0;;14-02-2013;0;2
XY-OZH;1;1;1;19;;14-02-2015;15;2
XY-NHZ;4;1;1;20;;04-07-2013;0;2
XY-NHZ;1;1;1;45;;04-07-2011;0;3
XY-OZH;;0;0;0;;14-02-2010;0;1
XY-OZH;2;1;1;21;;14-02-2011;0;1
XY-YTM;0;1;1;15;;15-11-2016;0;2
XY-NHZ;;0;0;0;;04-07-2015;22;1
XY-YTM;2;1;1;30;;15-11-2014;0;2
XY-NHZ;0;1;1;44;;04-07-2016;0;2
XY-YTM;2;1;1;28;;15-11-2015;7;1
XY-NHZ;;0;0;0;;04-07-2010;0;1
XY-PZC;0;1;1;36;;04-08-2013;0;1
XY-ZDY;3;1;1;41;;12-12-2013;0;2
XY-PZC;;0;0;0;;04-08-2014;4;1
XY-ZDY;;0;0;0;;12-12-2014;0;1
XY-NMY;3;1;1;18;;22-06-2014;0;3
XY-IWX;;0;0;0;;28-06-2016;0;1
XY-PZC;;0;0;0;;04-08-2015;0;1
XY-YTM;0;1;1;6;;25-07-2010;48;2
XY-LQZ;4;1;1;34;;02-11-2013;0;1
XY-PZC;2;1;1;36;;04-08-2016;22;1
XY-ZDY;3;1;1;19;;12-12-2012;0;1
XY-NMY;2;1;1;30;;22-06-2012;24;1
XY-YTM;0;1;1;40;;25-07-2011;0;2
XY-NMY;;0;0;0;;22-06-2011;0;2
XY-LQZ;;0;0;0;;02-11-2015;0;2
XY-JXR;;0;0;0;;19-12-2016;48;2
XY-NMY;;0;0;0;;22-06-2010;0;1
XY-ALV;;0;0;0;;05-07-2011;0;2
XY-JXR;3;1;1;11;;19-12-2013;24;1
XY-ZDY;6;2;2;30;;22-08-2015;0;2
